table,region,year,indicator,value,unit,notes
17-5,山西,2024,限额以上餐饮法人企业数,1286,个,分地区限额以上餐饮业企业主要指标
17-5,山西,2024,限额以上餐饮营业收入,152.7,亿元,分地区限额以上餐饮业企业主要指标
17-5,内蒙古,2024,限额以上餐饮法人企业数,451,个,分地区限额以上餐饮业企业主要指标
17-5,内蒙古,2024,限额以上餐饮营业收入,65.8,亿元,分地区限额以上餐饮业企业主要指标
17-5,辽宁,2024,限额以上餐饮法人企业数,702,个,分地区限额以上餐饮业企业主要指标
17-5,辽宁,2024,限额以上餐饮营业收入,175.7,亿元,分地区限额以上餐饮业企业主要指标
17-5,吉林,2024,限额以上餐饮法人企业数,306,个,分地区限额以上餐饮业企业主要指标
17-5,吉林,2024,限额以上餐饮营业收入,42.1,亿元,分地区限额以上餐饮业企业主要指标
17-5,黑龙江,2024,限额以上餐饮法人企业数,316,个,分地区限额以上餐饮业企业主要指标
17-5,黑龙江,2024,限额以上餐饮营业收入,29.3,亿元,分地区限额以上餐饮业企业主要指标
17-5,上海,2024,限额以上餐饮法人企业数,2914,个,分地区限额以上餐饮业企业主要指标
17-5,上海,2024,限额以上餐饮营业收入,1357.4,亿元,分地区限额以上餐饮业企业主要指标
17-5,江苏,2024,限额以上餐饮法人企业数,7633,个,分地区限额以上餐饮业企业主要指标
17-5,江苏,2024,限额以上餐饮营业收入,1919.3,亿元,分地区限额以上餐饮业企业主要指标
17-5,浙江,2024,限额以上餐饮法人企业数,4173,个,分地区限额以上餐饮业企业主要指标
17-5,浙江,2024,限额以上餐饮营业收入,802.0,亿元,分地区限额以上餐饮业企业主要指标
17-5,安徽,2024,限额以上餐饮法人企业数,2439,个,分地区限额以上餐饮业企业主要指标
17-5,安徽,2024,限额以上餐饮营业收入,386.2,亿元,分地区限额以上餐饮业企业主要指标
17-5,福建,2024,限额以上餐饮法人企业数,3585,个,分地区限额以上餐饮业企业主要指标
17-5,福建,2024,限额以上餐饮营业收入,542.1,亿元,分地区限额以上餐饮业企业主要指标
17-5,江西,2024,限额以上餐饮法人企业数,3279,个,分地区限额以上餐饮业企业主要指标
17-5,江西,2024,限额以上餐饮营业收入,250.9,亿元,分地区限额以上餐饮业企业主要指标
17-5,山东,2024,限额以上餐饮法人企业数,6338,个,分地区限额以上餐饮业企业主要指标
17-5,山东,2024,限额以上餐饮营业收入,621.8,亿元,分地区限额以上餐饮业企业主要指标
17-5,河南,2024,限额以上餐饮法人企业数,2475,个,分地区限额以上餐饮业企业主要指标
17-5,河南,2024,限额以上餐饮营业收入,194.5,亿元,分地区限额以上餐饮业企业主要指标
17-5,湖北,2024,限额以上餐饮法人企业数,6134,个,分地区限额以上餐饮业企业主要指标
17-5,湖北,2024,限额以上餐饮营业收入,592.2,亿元,分地区限额以上餐饮业企业主要指标
17-5,湖南,2024,限额以上餐饮法人企业数,3106,个,分地区限额以上餐饮业企业主要指标
17-5,湖南,2024,限额以上餐饮营业收入,381.0,亿元,分地区限额以上餐饮业企业主要指标
17-5,广东,2024,限额以上餐饮法人企业数,10190,个,分地区限额以上餐饮业企业主要指标
17-5,广东,2024,限额以上餐饮营业收入,1806.9,亿元,分地区限额以上餐饮业企业主要指标
17-5,广西,2024,限额以上餐饮法人企业数,1206,个,分地区限额以上餐饮业企业主要指标
17-5,广西,2024,限额以上餐饮营业收入,138.4,亿元,分地区限额以上餐饮业企业主要指标
17-5,海南,2024,限额以上餐饮法人企业数,234,个,分地区限额以上餐饮业企业主要指标
17-5,海南,2024,限额以上餐饮营业收入,41.5,亿元,分地区限额以上餐饮业企业主要指标
17-5,重庆,2024,限额以上餐饮法人企业数,1590,个,分地区限额以上餐饮业企业主要指标
17-5,重庆,2024,限额以上餐饮营业收入,224.5,亿元,分地区限额以上餐饮业企业主要指标
17-5,四川,2024,限额以上餐饮法人企业数,4388,个,分地区限额以上餐饮业企业主要指标
17-5,四川,2024,限额以上餐饮营业收入,677.2,亿元,分地区限额以上餐饮业企业主要指标
17-5,贵州,2024,限额以上餐饮法人企业数,984,个,分地区限额以上餐饮业企业主要指标
17-5,贵州,2024,限额以上餐饮营业收入,72.5,亿元,分地区限额以上餐饮业企业主要指标
17-5,云南,2024,限额以上餐饮法人企业数,1706,个,分地区限额以上餐饮业企业主要指标
17-5,云南,2024,限额以上餐饮营业收入,153.9,亿元,分地区限额以上餐饮业企业主要指标
17-5,西藏,2024,限额以上餐饮法人企业数,56,个,分地区限额以上餐饮业企业主要指标
17-5,西藏,2024,限额以上餐饮营业收入,6.6,亿元,分地区限额以上餐饮业企业主要指标
17-5,陕西,2024,限额以上餐饮法人企业数,2288,个,分地区限额以上餐饮业企业主要指标
17-5,陕西,2024,限额以上餐饮营业收入,283.9,亿元,分地区限额以上餐饮业企业主要指标
17-5,甘肃,2024,限额以上餐饮法人企业数,706,个,分地区限额以上餐饮业企业主要指标
17-5,甘肃,2024,限额以上餐饮营业收入,70.0,亿元,分地区限额以上餐饮业企业主要指标
17-5,青海,2024,限额以上餐饮法人企业数,74,个,分地区限额以上餐饮业企业主要指标
17-5,青海,2024,限额以上餐饮营业收入,6.2,亿元,分地区限额以上餐饮业企业主要指标
17-5,宁夏,2024,限额以上餐饮法人企业数,100,个,分地区限额以上餐饮业企业主要指标
17-5,宁夏,2024,限额以上餐饮营业收入,9.8,亿元,分地区限额以上餐饮业企业主要指标
17-5,新疆,2024,限额以上餐饮法人企业数,552,个,分地区限额以上餐饮业企业主要指标
17-5,新疆,2024,限额以上餐饮营业收入,62.1,亿元,分地区限额以上餐饮业企业主要指标
17-8,全国,2024,连锁餐饮企业数,935,个,分地区连锁餐饮企业基本情况
17-8,全国,2024,连锁门店数,72829,个,分地区连锁餐饮企业基本情况
17-8,全国,2024,连锁餐饮营业收入,3408.3,亿元,分地区连锁餐饮企业基本情况
17-8,北京,2024,连锁餐饮企业数,117,个,分地区连锁餐饮企业基本情况
17-8,北京,2024,连锁门店数,9870,个,分地区连锁餐饮企业基本情况
17-8,北京,2024,连锁餐饮营业收入,1550.0,亿元,分地区连锁餐饮企业基本情况
17-8,天津,2024,连锁餐饮企业数,21,个,分地区连锁餐饮企业基本情况
17-8,天津,2024,连锁门店数,1439,个,分地区连锁餐饮企业基本情况
17-8,天津,2024,连锁餐饮营业收入,235.0,亿元,分地区连锁餐饮企业基本情况
17-8,河北,2024,连锁餐饮企业数,9,个,分地区连锁餐饮企业基本情况
17-8,河北,2024,连锁门店数,244,个,分地区连锁餐饮企业基本情况
17-8,河北,2024,连锁餐饮营业收入,12.5,亿元,分地区连锁餐饮企业基本情况
17-8,山西,2024,连锁餐饮企业数,6,个,分地区连锁餐饮企业基本情况
17-8,山西,2024,连锁门店数,324,个,分地区连锁餐饮企业基本情况
17-8,山西,2024,连锁餐饮营业收入,42.0,亿元,分地区连锁餐饮企业基本情况
17-8,内蒙古,2024,连锁餐饮企业数,6,个,分地区连锁餐饮企业基本情况
17-8,内蒙古,2024,连锁门店数,126,个,分地区连锁餐饮企业基本情况
17-8,内蒙古,2024,连锁餐饮营业收入,12.5,亿元,分地区连锁餐饮企业基本情况
17-8,辽宁,2024,连锁餐饮企业数,20,个,分地区连锁餐饮企业基本情况
17-8,辽宁,2024,连锁门店数,1902,个,分地区连锁餐饮企业基本情况
17-8,辽宁,2024,连锁餐饮营业收入,88.0,亿元,分地区连锁餐饮企业基本情况
17-8,吉林,2024,连锁门店数,89,个,分地区连锁餐饮企业基本情况
17-8,吉林,2024,连锁餐饮营业收入,3.8,亿元,分地区连锁餐饮企业基本情况
17-8,黑龙江,2024,连锁餐饮企业数,5,个,分地区连锁餐饮企业基本情况
17-8,黑龙江,2024,连锁门店数,146,个,分地区连锁餐饮企业基本情况
17-8,黑龙江,2024,连锁餐饮营业收入,11.5,亿元,分地区连锁餐饮企业基本情况
17-8,上海,2024,连锁餐饮企业数,141,个,分地区连锁餐饮企业基本情况
17-8,上海,2024,连锁门店数,14184,个,分地区连锁餐饮企业基本情况
17-8,上海,2024,连锁餐饮营业收入,668.0,亿元,分地区连锁餐饮企业基本情况
17-8,江苏,2024,连锁餐饮企业数,46,个,分地区连锁餐饮企业基本情况
17-8,江苏,2024,连锁门店数,4739,个,分地区连锁餐饮企业基本情况
17-8,江苏,2024,连锁餐饮营业收入,231.6,亿元,分地区连锁餐饮企业基本情况
17-8,浙江,2024,连锁餐饮企业数,45,个,分地区连锁餐饮企业基本情况
17-8,浙江,2024,连锁门店数,3910,个,分地区连锁餐饮企业基本情况
17-8,浙江,2024,连锁餐饮营业收入,210.8,亿元,分地区连锁餐饮企业基本情况
17-8,安徽,2024,连锁餐饮企业数,17,个,分地区连锁餐饮企业基本情况
17-8,安徽,2024,连锁门店数,1738,个,分地区连锁餐饮企业基本情况
17-8,安徽,2024,连锁餐饮营业收入,92.1,亿元,分地区连锁餐饮企业基本情况
17-8,福建,2024,连锁餐饮企业数,33,个,分地区连锁餐饮企业基本情况
17-8,福建,2024,连锁门店数,2466,个,分地区连锁餐饮企业基本情况
17-8,福建,2024,连锁餐饮营业收入,92.4,亿元,分地区连锁餐饮企业基本情况
17-8,江西,2024,连锁餐饮企业数,19,个,分地区连锁餐饮企业基本情况
17-8,江西,2024,连锁门店数,1022,个,分地区连锁餐饮企业基本情况
17-8,江西,2024,连锁餐饮营业收入,23.3,亿元,分地区连锁餐饮企业基本情况
17-8,山东,2024,连锁餐饮企业数,41,个,分地区连锁餐饮企业基本情况
17-8,山东,2024,连锁门店数,2153,个,分地区连锁餐饮企业基本情况
17-8,山东,2024,连锁餐饮营业收入,92.1,亿元,分地区连锁餐饮企业基本情况
17-8,河南,2024,连锁餐饮企业数,10,个,分地区连锁餐饮企业基本情况
17-8,河南,2024,连锁门店数,711,个,分地区连锁餐饮企业基本情况
17-8,河南,2024,连锁餐饮营业收入,28.2,亿元,分地区连锁餐饮企业基本情况
17-8,湖北,2024,连锁餐饮企业数,47,个,分地区连锁餐饮企业基本情况
17-8,湖北,2024,连锁门店数,3590,个,分地区连锁餐饮企业基本情况
17-8,湖北,2024,连锁餐饮营业收入,137.3,亿元,分地区连锁餐饮企业基本情况
17-8,湖南,2024,连锁餐饮企业数,36,个,分地区连锁餐饮企业基本情况
17-8,湖南,2024,连锁门店数,3558,个,分地区连锁餐饮企业基本情况
17-8,湖南,2024,连锁餐饮营业收入,103.0,亿元,分地区连锁餐饮企业基本情况
17-8,广东,2024,连锁餐饮企业数,194,个,分地区连锁餐饮企业基本情况
17-8,广东,2024,连锁门店数,11776,个,分地区连锁餐饮企业基本情况
17-8,广东,2024,连锁餐饮营业收入,525.1,亿元,分地区连锁餐饮企业基本情况
17-8,广西,2024,连锁餐饮企业数,19,个,分地区连锁餐饮企业基本情况
17-8,广西,2024,连锁门店数,927,个,分地区连锁餐饮企业基本情况
17-8,广西,2024,连锁餐饮营业收入,23.5,亿元,分地区连锁餐饮企业基本情况
17-8,海南,2024,连锁餐饮企业数,14,个,分地区连锁餐饮企业基本情况
17-8,海南,2024,连锁门店数,335,个,分地区连锁餐饮企业基本情况
17-8,海南,2024,连锁餐饮营业收入,13.6,亿元,分地区连锁餐饮企业基本情况
17-8,重庆,2024,连锁餐饮企业数,13,个,分地区连锁餐饮企业基本情况
17-8,重庆,2024,连锁门店数,2096,个,分地区连锁餐饮企业基本情况
17-8,重庆,2024,连锁餐饮营业收入,97.7,亿元,分地区连锁餐饮企业基本情况
17-8,四川,2024,连锁餐饮企业数,20,个,分地区连锁餐饮企业基本情况
17-8,四川,2024,连锁门店数,2766,个,分地区连锁餐饮企业基本情况
17-8,四川,2024,连锁餐饮营业收入,251.9,亿元,分地区连锁餐饮企业基本情况
17-8,贵州,2024,连锁餐饮企业数,6,个,分地区连锁餐饮企业基本情况
17-8,贵州,2024,连锁门店数,279,个,分地区连锁餐饮企业基本情况
17-8,贵州,2024,连锁餐饮营业收入,5.9,亿元,分地区连锁餐饮企业基本情况
17-8,云南,2024,连锁餐饮企业数,7,个,分地区连锁餐饮企业基本情况
17-8,云南,2024,连锁门店数,265,个,分地区连锁餐饮企业基本情况
17-8,云南,2024,连锁餐饮营业收入,13.6,亿元,分地区连锁餐饮企业基本情况
17-8,西藏,2024,连锁门店数,15,个,分地区连锁餐饮企业基本情况
17-8,西藏,2024,连锁餐饮营业收入,0.3,亿元,分地区连锁餐饮企业基本情况
17-8,陕西,2024,连锁餐饮企业数,25,个,分地区连锁餐饮企业基本情况
17-8,陕西,2024,连锁门店数,1416,个,分地区连锁餐饮企业基本情况
17-8,陕西,2024,连锁餐饮营业收入,52.9,亿元,分地区连锁餐饮企业基本情况
17-8,甘肃,2024,连锁门店数,123,个,分地区连锁餐饮企业基本情况
17-8,甘肃,2024,连锁餐饮营业收入,6.2,亿元,分地区连锁餐饮企业基本情况
17-8,青海,2024,连锁门店数,7,个,分地区连锁餐饮企业基本情况
17-8,青海,2024,连锁餐饮营业收入,0.3,亿元,分地区连锁餐饮企业基本情况
17-8,宁夏,2024,连锁餐饮企业数,10,个,分地区连锁餐饮企业基本情况
17-8,宁夏,2024,连锁门店数,622,个,分地区连锁餐饮企业基本情况
17-8,宁夏,2024,连锁餐饮营业收入,12.3,亿元,分地区连锁餐饮企业基本情况
25-9,全国,2024,公交汽车客运总量,3867039,万人次,分地区城市公共交通情况
25-9,全国,2024,轨道交通客运总量,3220886,万人次,分地区城市公共交通情况
25-9,全国,2024,出租汽车数量,1352030,辆,分地区城市公共交通情况
25-9,北京,2024,公交汽车客运总量,178947,万人次,分地区城市公共交通情况
25-9,北京,2024,轨道交通客运总量,361916,万人次,分地区城市公共交通情况
25-9,北京,2024,出租汽车数量,65846,辆,分地区城市公共交通情况
25-9,天津,2024,公交汽车客运总量,44594,万人次,分地区城市公共交通情况
25-9,天津,2024,轨道交通客运总量,63999,万人次,分地区城市公共交通情况
25-9,天津,2024,出租汽车数量,31778,辆,分地区城市公共交通情况
25-9,河北,2024,公交汽车客运总量,96013,万人次,分地区城市公共交通情况
25-9,河北,2024,轨道交通客运总量,19823,万人次,分地区城市公共交通情况
25-9,河北,2024,出租汽车数量,69264,辆,分地区城市公共交通情况
25-9,山西,2024,公交汽车客运总量,96141,万人次,分地区城市公共交通情况
25-9,山西,2024,轨道交通客运总量,4820,万人次,分地区城市公共交通情况
25-9,山西,2024,出租汽车数量,40931,辆,分地区城市公共交通情况
25-9,内蒙古,2024,公交汽车客运总量,64549,万人次,分地区城市公共交通情况
25-9,内蒙古,2024,轨道交通客运总量,7702,万人次,分地区城市公共交通情况
25-9,内蒙古,2024,出租汽车数量,67215,辆,分地区城市公共交通情况
25-9,辽宁,2024,公交汽车客运总量,193821,万人次,分地区城市公共交通情况
25-9,辽宁,2024,轨道交通客运总量,93470,万人次,分地区城市公共交通情况
25-9,辽宁,2024,出租汽车数量,91007,辆,分地区城市公共交通情况
25-9,吉林,2024,公交汽车客运总量,103191,万人次,分地区城市公共交通情况
25-9,吉林,2024,轨道交通客运总量,27043,万人次,分地区城市公共交通情况
25-9,吉林,2024,出租汽车数量,66950,辆,分地区城市公共交通情况
25-9,黑龙江,2024,公交汽车客运总量,132259,万人次,分地区城市公共交通情况
25-9,黑龙江,2024,轨道交通客运总量,36123,万人次,分地区城市公共交通情况
25-9,黑龙江,2024,出租汽车数量,96483,辆,分地区城市公共交通情况
25-9,上海,2024,公交汽车客运总量,106515,万人次,分地区城市公共交通情况
25-9,上海,2024,轨道交通客运总量,376608,万人次,分地区城市公共交通情况
25-9,上海,2024,出租汽车数量,30861,辆,分地区城市公共交通情况
25-9,江苏,2024,公交汽车客运总量,197402,万人次,分地区城市公共交通情况
25-9,江苏,2024,轨道交通客运总量,219782,万人次,分地区城市公共交通情况
25-9,江苏,2024,出租汽车数量,49968,辆,分地区城市公共交通情况
25-9,浙江,2024,公交汽车客运总量,168176,万人次,分地区城市公共交通情况
25-9,浙江,2024,轨道交通客运总量,193834,万人次,分地区城市公共交通情况
25-9,浙江,2024,出租汽车数量,42149,辆,分地区城市公共交通情况
25-9,安徽,2024,公交汽车客运总量,99462,万人次,分地区城市公共交通情况
25-9,安徽,2024,轨道交通客运总量,56144,万人次,分地区城市公共交通情况
25-9,安徽,2024,出租汽车数量,55110,辆,分地区城市公共交通情况
25-9,福建,2024,公交汽车客运总量,136451,万人次,分地区城市公共交通情况
25-9,福建,2024,轨道交通客运总量,57264,万人次,分地区城市公共交通情况
25-9,福建,2024,出租汽车数量,21090,辆,分地区城市公共交通情况
25-9,江西,2024,公交汽车客运总量,66208,万人次,分地区城市公共交通情况
25-9,江西,2024,轨道交通客运总量,43895,万人次,分地区城市公共交通情况
25-9,江西,2024,出租汽车数量,16173,辆,分地区城市公共交通情况
25-9,山东,2024,公交汽车客运总量,262529,万人次,分地区城市公共交通情况
25-9,山东,2024,轨道交通客运总量,64694,万人次,分地区城市公共交通情况
25-9,山东,2024,出租汽车数量,68226,辆,分地区城市公共交通情况
25-9,河南,2024,公交汽车客运总量,148294,万人次,分地区城市公共交通情况
25-9,河南,2024,轨道交通客运总量,76739,万人次,分地区城市公共交通情况
25-9,河南,2024,出租汽车数量,63070,辆,分地区城市公共交通情况
25-9,湖北,2024,公交汽车客运总量,175203,万人次,分地区城市公共交通情况
25-9,湖北,2024,轨道交通客运总量,147264,万人次,分地区城市公共交通情况
25-9,湖北,2024,出租汽车数量,44315,辆,分地区城市公共交通情况
25-9,湖南,2024,公交汽车客运总量,171969,万人次,分地区城市公共交通情况
25-9,湖南,2024,轨道交通客运总量,102801,万人次,分地区城市公共交通情况
25-9,湖南,2024,出租汽车数量,35285,辆,分地区城市公共交通情况
25-9,广东,2024,公交汽车客运总量,307291,万人次,分地区城市公共交通情况
25-9,广东,2024,轨道交通客运总量,649556,万人次,分地区城市公共交通情况
25-9,广东,2024,出租汽车数量,49101,辆,分地区城市公共交通情况
25-9,广西,2024,公交汽车客运总量,60065,万人次,分地区城市公共交通情况
25-9,广西,2024,轨道交通客运总量,36506,万人次,分地区城市公共交通情况
25-9,广西,2024,出租汽车数量,19272,辆,分地区城市公共交通情况
25-9,海南,2024,公交汽车客运总量,12137,万人次,分地区城市公共交通情况
25-9,海南,2024,轨道交通客运总量,161,万人次,分地区城市公共交通情况
25-9,海南,2024,出租汽车数量,6657,辆,分地区城市公共交通情况
25-9,重庆,2024,公交汽车客运总量,198343,万人次,分地区城市公共交通情况
25-9,重庆,2024,轨道交通客运总量,144515,万人次,分地区城市公共交通情况
25-9,重庆,2024,出租汽车数量,24096,辆,分地区城市公共交通情况
25-9,四川,2024,公交汽车客运总量,266269,万人次,分地区城市公共交通情况
25-9,四川,2024,轨道交通客运总量,220898,万人次,分地区城市公共交通情况
25-9,四川,2024,出租汽车数量,47666,辆,分地区城市公共交通情况
25-9,贵州,2024,公交汽车客运总量,111920,万人次,分地区城市公共交通情况
25-9,贵州,2024,轨道交通客运总量,25512,万人次,分地区城市公共交通情况
25-9,贵州,2024,出租汽车数量,48639,辆,分地区城市公共交通情况
25-9,云南,2024,公交汽车客运总量,75753,万人次,分地区城市公共交通情况
25-9,云南,2024,轨道交通客运总量,30805,万人次,分地区城市公共交通情况
25-9,云南,2024,出租汽车数量,31628,辆,分地区城市公共交通情况
25-9,西藏,2024,公交汽车客运总量,7444,万人次,分地区城市公共交通情况
25-9,西藏,2024,出租汽车数量,2424,辆,分地区城市公共交通情况
25-9,陕西,2024,公交汽车客运总量,143930,万人次,分地区城市公共交通情况
25-9,陕西,2024,轨道交通客运总量,140496,万人次,分地区城市公共交通情况
25-9,陕西,2024,出租汽车数量,37598,辆,分地区城市公共交通情况
25-9,甘肃,2024,公交汽车客运总量,97672,万人次,分地区城市公共交通情况
25-9,甘肃,2024,轨道交通客运总量,14182,万人次,分地区城市公共交通情况
25-9,甘肃,2024,出租汽车数量,41128,辆,分地区城市公共交通情况
25-9,青海,2024,公交汽车客运总量,27994,万人次,分地区城市公共交通情况
25-9,青海,2024,出租汽车数量,14367,辆,分地区城市公共交通情况
25-9,宁夏,2024,公交汽车客运总量,23219,万人次,分地区城市公共交通情况
25-9,宁夏,2024,出租汽车数量,16405,辆,分地区城市公共交通情况
25-9,新疆,2024,公交汽车客运总量,93279,万人次,分地区城市公共交通情况
25-9,新疆,2024,轨道交通客运总量,4335,万人次,分地区城市公共交通情况
25-9,新疆,2024,出租汽车数量,57326,辆,分地区城市公共交通情况
2-7,全国,2024,总人口,140828,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,全国,2024,城镇人口数,94350,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,全国,2024,城镇人口比重,67.0,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,全国,2024,乡村人口数,46478,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,全国,2024,乡村人口比重,33.0,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,全国,2024,出生率,6.77,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,全国,2024,死亡率,7.76,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,全国,2024,自然增长率,-0.99,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,北京,2024,总人口,2183,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,北京,2024,城镇人口数,1926,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,北京,2024,城镇人口比重,88.22,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,北京,2024,乡村人口数,257,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,北京,2024,乡村人口比重,11.78,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,北京,2024,出生率,6.09,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,北京,2024,死亡率,6.08,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,北京,2024,自然增长率,0.01,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,天津,2024,总人口,1364,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,天津,2024,城镇人口数,1173,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,天津,2024,城镇人口比重,86.01,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,天津,2024,乡村人口数,191,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,天津,2024,乡村人口比重,13.99,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
