year_month,period_label,monthly_consumption_万元,predicted_consumption_baseline_万元,predicted_consumption_with_firststore_万元,firststore_effect_万元,total_effect_pct,seasonal_factor,is_spring_festival,is_summer,is_national_day,is_double_11,first_store_months,is_opening_month,cluster_effect,night_lift,did_beta_component,data_type,note
2026-07,开业月,9500,8900,10285,1385,14.55%,1.40,0,1,0,0,1,是,1.16,0.12,0.08,forecast,SARIMAX预测+首店效应
2026-08,开业后1月,9800,9200,10856,1656,16.90%,1.45,0,1,0,0,2,是,1.20,0.14,0.08,forecast,效应峰值期
2026-09,开业后2月,9200,8600,9940,1340,14.57%,1.10,0,0,0,0,3,是,1.16,0.12,0.08,forecast,效应衰减
2026-10,开业后3月,10500,9900,11484,1584,15.09%,1.55,0,0,1,0,4,是,1.18,0.12,0.08,forecast,国庆叠加效应
2026-11,开业后4月,9400,8800,10080,1280,13.62%,1.35,0,0,0,1,5,是,1.14,0.10,0.08,forecast,双十一叠加
2026-12,开业后5月,10000,9400,10592,1192,11.92%,1.50,0,0,0,0,6,是,1.12,0.10,0.08,forecast,年末旺季
2027-01,开业后6月,8500,8000,8640,640,7.53%,1.15,1,0,0,0,7,否,1.08,0.08,0.08,forecast,春节效应延续
2027-02,开业后7月,6300,5800,6264,464,7.37%,0.82,1,0,0,0,8,否,1.05,0.06,0.06,forecast,效应持续减弱
2027-03,开业后8月,7800,7300,7696,396,5.08%,1.08,0,0,0,0,9,否,1.04,0.04,0.04,forecast,效应持续减弱
2027-04,开业后9月,8700,8200,8528,328,3.77%,1.20,0,0,0,0,10,否,1.03,0.03,0.03,forecast,效应收敛
2027-05,开业后10月,9400,8900,9187,287,3.05%,1.32,0,0,0,0,11,否,1.02,0.02,0.02,forecast,效应趋于稳定
2027-06,开业后11月,9100,8600,8836,236,2.59%,1.28,0,0,0,0,12,否,1.02,0.01,0.01,forecast,首店效应基本稳定

注：
1. year_month: 年月
2. period_label: 时期标签（历史期/预测期/开业月/开业后N月）
3. monthly_consumption_万元: 月度消费总额
4. predicted_consumption_baseline_万元: 基准预测值（不考虑首店效应）
5. predicted_consumption_with_firststore_万元: 考虑首店效应的预测值
6. firststore_effect_万元: 首店效应贡献额
7. total_effect_pct: 效应占总消费比例
8. seasonal_factor: 季节性因子
9. is_spring_festival/summer/national_day/double_11: 节假日虚拟变量
10. first_store_months: 首店开业后第几个月（0=开业月）
11. is_opening_month: 是否为开业月
12. cluster_effect: 品牌集聚效应指数
13. night_lift: 夜间经济提升
14. did_beta_component: DID估计量的分解组成部分
15. data_type: 数据类型（historical=历史，forecast=预测）

首店效应设定：
- 开业时间：2026年7月（暑期旺季）
- 初始拉动：15%（开业月）
- 峰值：18%（开业后2-3个月）
- 持续期：12个月
- 衰减：指数衰减，每月减弱20%

效应分解：
首店效应 = 基准值×(cluster_effect-1) + 基准值×night_lift + did_beta_component
